f,u_db
10,61.5109392279
20,58.889653443
30,55.5630250077
40,53.6248247475
50,51.5956719323
70,49.5424250944
100,44.6089784276
200,39.5544721058
300,36.9019608003
400,35.5630250077
500,34.485517392
700,33.0642502755
1000,31.8212921405
