x-axis,1,2,3
second,Volt,Volt,Volt
+12.5670000E+00,,,
+12.5675000E+00,-76.5077E-03,+3.7525125E+00,+11.8092E-03
+12.5680000E+00,-26.2564E-03,+3.8278894E+00,-13.3164E-03
+12.5685000E+00,-106.6584E-03,+3.6268844E+00,-68.5928E-03
+12.5690000E+00,-156.9097E-03,+3.7022613E+00,-68.5928E-03
+12.5695000E+00,-131.7841E-03,+3.8278894E+00,+11.8092E-03
+12.5700000E+00,-76.5077E-03,+3.9660804E+00,+11.8092E-03
+12.5705000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5710000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5715000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.5720000E+00,-156.9097E-03,+3.7022613E+00,-118.8440E-03
+12.5725000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.5730000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5735000E+00,-76.5077E-03,+3.9660804E+00,-38.4420E-03
+12.5740000E+00,-76.5077E-03,+3.7022613E+00,+11.8092E-03
+12.5745000E+00,-131.7841E-03,+3.8278894E+00,-68.5928E-03
+12.5750000E+00,-106.6584E-03,+3.7022613E+00,-13.3164E-03
+12.5755000E+00,-106.6584E-03,+3.8278894E+00,+11.8092E-03
+12.5760000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.5765000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5770000E+00,-76.5077E-03,+3.8278894E+00,-148.9948E-03
+12.5775000E+00,-76.5077E-03,+3.6896985E+00,+11.8092E-03
+12.5780000E+00,-51.3820E-03,+3.8278894E+00,-68.5928E-03
+12.5785000E+00,-76.5077E-03,+3.7650753E+00,-68.5928E-03
+12.5790000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5795000E+00,-131.7841E-03,+3.8278894E+00,-38.4420E-03
+12.5800000E+00,-131.7841E-03,+3.7650753E+00,-13.3164E-03
+12.5805000E+00,-131.7841E-03,+3.8278894E+00,-43.4672E-03
+12.5810000E+00,-26.2564E-03,+3.8278894E+00,-68.5928E-03
+12.5815000E+00,-156.9097E-03,+3.9032663E+00,-68.5928E-03
+12.5820000E+00,-76.5077E-03,+3.7022613E+00,-13.3164E-03
+12.5825000E+00,-76.5077E-03,+3.9660804E+00,-13.3164E-03
+12.5830000E+00,-51.3820E-03,+3.8278894E+00,-38.4420E-03
+12.5835000E+00,-76.5077E-03,+3.6268844E+00,-68.5928E-03
+12.5840000E+00,-76.5077E-03,+3.6268844E+00,-38.4420E-03
+12.5845000E+00,-106.6584E-03,+3.8278894E+00,-38.4420E-03
+12.5850000E+00,-56.4072E-03,+3.7022613E+00,-68.5928E-03
+12.5855000E+00,-76.5077E-03,+3.8278894E+00,-38.4420E-03
+12.5860000E+00,-26.2564E-03,+3.6268844E+00,-13.3164E-03
+12.5865000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5870000E+00,-76.5077E-03,+3.6268844E+00,-13.3164E-03
+12.5875000E+00,-106.6584E-03,+3.7022613E+00,-68.5928E-03
+12.5880000E+00,-131.7841E-03,+3.9032663E+00,-13.3164E-03
+12.5885000E+00,-76.5077E-03,+3.7022613E+00,-13.3164E-03
+12.5890000E+00,-76.5077E-03,+3.5012562E+00,-68.5928E-03
+12.5895000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5900000E+00,-51.3820E-03,+3.7022613E+00,-13.3164E-03
+12.5905000E+00,-156.9097E-03,+3.7650753E+00,+11.8092E-03
+12.5910000E+00,-76.5077E-03,+3.8278894E+00,+11.8092E-03
+12.5915000E+00,-51.3820E-03,+3.8907035E+00,-13.3164E-03
+12.5920000E+00,-76.5077E-03,+3.6268844E+00,-13.3164E-03
+12.5925000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.5930000E+00,-131.7841E-03,+3.8907035E+00,-13.3164E-03
+12.5935000E+00,-131.7841E-03,+3.8278894E+00,-68.5928E-03
+12.5940000E+00,-76.5077E-03,+3.7650753E+00,-13.3164E-03
+12.5945000E+00,-106.6584E-03,+3.8278894E+00,-38.4420E-03
+12.5950000E+00,-106.6584E-03,+3.6268844E+00,-68.5928E-03
+12.5955000E+00,-106.6584E-03,+3.7022613E+00,-68.5928E-03
+12.5960000E+00,-76.5077E-03,+3.9660804E+00,-68.5928E-03
+12.5965000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.5970000E+00,-51.3820E-03,+3.7022613E+00,-68.5928E-03
+12.5975000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.5980000E+00,-51.3820E-03,+3.7022613E+00,-13.3164E-03
+12.5985000E+00,-106.6584E-03,+3.6268844E+00,-13.3164E-03
+12.5990000E+00,-106.6584E-03,+3.8278894E+00,+11.8092E-03
+12.5995000E+00,-76.5077E-03,+3.7650753E+00,-68.5928E-03
+12.6000000E+00,-56.4072E-03,+3.7022613E+00,-68.5928E-03
+12.6005000E+00,-131.7841E-03,+3.7650753E+00,-93.7184E-03
+12.6010000E+00,-76.5077E-03,+3.7022613E+00,+11.8092E-03
+12.6015000E+00,-76.5077E-03,+3.7022613E+00,+11.8092E-03
+12.6020000E+00,-106.6584E-03,+3.7650753E+00,-38.4420E-03
+12.6025000E+00,-51.3820E-03,+3.8278894E+00,-68.5928E-03
+12.6030000E+00,-76.5077E-03,+3.6268844E+00,-38.4420E-03
+12.6035000E+00,-76.5077E-03,+3.7022613E+00,-13.3164E-03
+12.6040000E+00,-51.3820E-03,+3.6268844E+00,-68.5928E-03
+12.6045000E+00,-76.5077E-03,+3.7650753E+00,-68.5928E-03
+12.6050000E+00,-76.5077E-03,+3.7022613E+00,-13.3164E-03
+12.6055000E+00,-76.5077E-03,+3.7022613E+00,-68.5928E-03
+12.6060000E+00,-76.5077E-03,+3.8278894E+00,-43.4672E-03
+12.6065000E+00,-131.7841E-03,+3.8278894E+00,-38.4420E-03
+12.6070000E+00,-131.7841E-03,+3.8278894E+00,-13.3164E-03
+12.6075000E+00,-76.5077E-03,+3.7650753E+00,-38.4420E-03
+12.6080000E+00,-76.5077E-03,+3.7650753E+00,-13.3164E-03
+12.6085000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.6090000E+00,-26.2564E-03,+3.8278894E+00,-68.5928E-03
+12.6095000E+00,-76.5077E-03,+3.7650753E+00,+11.8092E-03
+12.6100000E+00,-76.5077E-03,+3.8278894E+00,+11.8092E-03
+12.6105000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.6110000E+00,-106.6584E-03,+3.8278894E+00,-88.6933E-03
+12.6115000E+00,-76.5077E-03,+3.7776382E+00,-13.3164E-03
+12.6120000E+00,-26.2564E-03,+3.7650753E+00,-38.4420E-03
+12.6125000E+00,-76.5077E-03,+3.7022613E+00,-13.3164E-03
+12.6130000E+00,-56.4072E-03,+3.8278894E+00,-13.3164E-03
+12.6135000E+00,-51.3820E-03,+3.7650753E+00,-68.5928E-03
+12.6140000E+00,-51.3820E-03,+3.7650753E+00,-68.5928E-03
+12.6145000E+00,-51.3820E-03,+3.8278894E+00,-38.4420E-03
+12.6150000E+00,-106.6584E-03,+3.7650753E+00,-68.5928E-03
+12.6155000E+00,-131.7841E-03,+3.7650753E+00,-68.5928E-03
+12.6160000E+00,-76.5077E-03,+3.8278894E+00,-93.7184E-03
+12.6165000E+00,-131.7841E-03,+3.8278894E+00,-68.5928E-03
+12.6170000E+00,-106.6584E-03,+3.8278894E+00,-13.3164E-03
+12.6175000E+00,-51.3820E-03,+3.7650753E+00,+11.8092E-03
+12.6180000E+00,-51.3820E-03,+3.7650753E+00,-68.5928E-03
+12.6185000E+00,-56.4072E-03,+3.8278894E+00,-38.4420E-03
+12.6190000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.6195000E+00,-131.7841E-03,+3.8278894E+00,-68.5928E-03
+12.6200000E+00,-51.3820E-03,+3.8907035E+00,-13.3164E-03
+12.6205000E+00,-26.2564E-03,+3.6268844E+00,-13.3164E-03
+12.6210000E+00,-76.5077E-03,+3.8278894E+00,+11.8092E-03
+12.6215000E+00,-106.6584E-03,+3.7650753E+00,-68.5928E-03
+12.6220000E+00,-76.5077E-03,+3.8278894E+00,-38.4420E-03
+12.6225000E+00,-26.2564E-03,+3.7650753E+00,-38.4420E-03
+12.6230000E+00,-76.5077E-03,+3.7650753E+00,+11.8092E-03
+12.6235000E+00,-76.5077E-03,+3.6268844E+00,-88.6933E-03
+12.6240000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.6245000E+00,-106.6584E-03,+3.7650753E+00,-38.4420E-03
+12.6250000E+00,-76.5077E-03,+3.8278894E+00,-118.8440E-03
+12.6255000E+00,-51.3820E-03,+3.6268844E+00,-13.3164E-03
+12.6260000E+00,-51.3820E-03,+3.7650753E+00,-13.3164E-03
+12.6265000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.6270000E+00,-26.2564E-03,+3.7650753E+00,-13.3164E-03
+12.6275000E+00,-76.5077E-03,+3.7022613E+00,-93.7184E-03
+12.6280000E+00,-21.2313E-03,+3.8278894E+00,+11.8092E-03
+12.6285000E+00,-76.5077E-03,+3.8278894E+00,-68.5928E-03
+12.6290000E+00,-51.3820E-03,+3.6268844E+00,-68.5928E-03
+12.6295000E+00,-76.5077E-03,+3.8278894E+00,-38.4420E-03
+12.6300000E+00,-51.3820E-03,+3.8278894E+00,-38.4420E-03
+12.6305000E+00,-131.7841E-03,+3.8278894E+00,-68.5928E-03
+12.6310000E+00,-106.6584E-03,+3.8278894E+00,+11.8092E-03
+12.6315000E+00,-76.5077E-03,+3.7022613E+00,-38.4420E-03
+12.6320000E+00,-76.5077E-03,+3.8278894E+00,-38.4420E-03
+12.6325000E+00,-76.5077E-03,+3.8278894E+00,+11.8092E-03
+12.6330000E+00,-26.2564E-03,+3.5766331E+00,-38.4420E-03
+12.6335000E+00,-76.5077E-03,+3.8278894E+00,+11.8092E-03
+12.6340000E+00,-76.5077E-03,+3.7022613E+00,-43.4672E-03
+12.6345000E+00,-131.7841E-03,+3.8278894E+00,-38.4420E-03
+12.6350000E+00,-51.3820E-03,+3.7022613E+00,-38.4420E-03
+12.6355000E+00,-71.4825E-03,+3.8278894E+00,-13.3164E-03
+12.6360000E+00,-131.7841E-03,+3.8278894E+00,-13.3164E-03
+12.6365000E+00,-76.5077E-03,+3.8278894E+00,-13.3164E-03
+12.6370000E+00,-76.5077E-03,+3.7022613E+00,-68.5928E-03
+12.6375000E+00,-76.5077E-03,+3.7022613E+00,-88.6933E-03
+12.6380000E+00,-26.2564E-03,+3.8278894E+00,-68.5928E-03
+12.6385000E+00,-76.5077E-03,+3.7022613E+00,-38.4420E-03
+12.6390000E+00,-106.6584E-03,+3.7022613E+00,-68.5928E-03
+12.6395000E+00,-106.6584E-03,+3.6268844E+00,+11.8092E-03
+12.6400000E+00,-106.6584E-03,+3.7022613E+00,-68.5928E-03
+12.6405000E+00,-76.5077E-03,+3.7650753E+00,+11.8092E-03
+12.6410000E+00,-76.5077E-03,+3.8278894E+00,-43.4672E-03
+12.6415000E+00,-51.3820E-03,+3.8278894E+00,-13.3164E-03
+12.6420000E+00,-51.3820E-03,+3.8278894E+00,-68.5928E-03
+12.6425000E+00,-106.6584E-03,+3.7022613E+00,-13.3164E-03
+12.6430000E+00,-51.3820E-03,+3.7650753E+00,-38.4420E-03
+12.6435000E+00,-76.5077E-03,+3.7776382E+00,-13.3164E-03
+12.6440000E+00,-131.7841E-03,+3.7022613E+00,-38.4420E-03
+12.6445000E+00,-151.8846E-03,+3.7650753E+00,-68.5928E-03
+12.6450000E+00,-106.6584E-03,+3.6268844E+00,-43.4672E-03
+12.6455000E+00,-76.5077E-03,+3.7650753E+00,-68.5928E-03
+12.6460000E+00,-26.2564E-03,+3.8278894E+00,-13.3164E-03
+12.6465000E+00,-76.5077E-03,+3.7650753E+00,-43.4672E-03
+12.6470000E+00,-56.4072E-03,+3.7022613E+00,-13.3164E-03
+12.6475000E+00,-76.5077E-03,+3.8278894E+00,-38.4420E-03
+12.6480000E+00,-106.6584E-03,+3.8278894E+00,-68.5928E-03
+12.6485000E+00,-131.7841E-03,+3.8278894E+00,-13.3164E-03
+12.6490000E+00,+3.8943E-03,+3.7022613E+00,-68.5928E-03
+12.6495000E+00,-106.6584E-03,+3.7022613E+00,+11.8092E-03
+12.6500000E+00,-131.7841E-03,+3.8278894E+00,-38.4420E-03
+12.6505000E+00,-76.5077E-03,+3.7650753E+00,-13.3164E-03
+12.6510000E+00,-76.5077E-03,+3.7022613E+00,-13.3164E-03
+12.6515000E+00,-51.3820E-03,+3.8278894E+00,-118.8440E-03
+12.6520000E+00,-51.3820E-03,+3.7022613E+00,-68.5928E-03
+12.6525000E+00,-26.2564E-03,+3.6268844E+00,+11.8092E-03
+12.6530000E+00,-26.2564E-03,+3.6268844E+00,+11.8092E-03
+12.6535000E+00,-76.5077E-03,+3.9032663E+00,-68.5928E-03
+12.6540000E+00,-156.9097E-03,+3.7650753E+00,-13.3164E-03
+12.6545000E+00,-26.2564E-03,+3.7022613E+00,-68.5928E-03
+12.6550000E+00,-156.9097E-03,+3.8278894E+00,-13.3164E-03
+12.6555000E+00,-76.5077E-03,+3.6268844E+00,-68.5928E-03
+12.6560000E+00,-26.2564E-03,+3.9660804E+00,-68.5928E-03
+12.6565000E+00,-76.5077E-03,+3.7650753E+00,-38.4420E-03
+12.6570000E+00,-26.2564E-03,+3.7650753E+00,-38.4420E-03
