x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+11.802500E+00,-76.508E-03,+3.626884E+00,+2.906282E+00,+151.080E-03
+11.805000E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,-188.116E-03
+11.807500E+00,-76.508E-03,+3.652010E+00,+2.835930E+00,+301.834E-03
+11.810000E+00,-136.809E-03,+3.827889E+00,+2.906282E+00,-250.930E-03
+11.812500E+00,-76.508E-03,+3.714824E+00,+2.906282E+00,+226.457E-03
+11.815000E+00,-51.382E-03,+3.626884E+00,+2.856030E+00,-389.121E-03
+11.817500E+00,-6.156E-03,+3.815327E+00,+2.906282E+00,+151.080E-03
+11.820000E+00,-76.508E-03,+3.802764E+00,+2.825880E+00,-250.930E-03
+11.822500E+00,-46.357E-03,+3.714824E+00,+2.956533E+00,+151.080E-03
+11.825000E+00,-76.508E-03,+3.702261E+00,+2.881156E+00,-250.930E-03
+11.827500E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,+301.834E-03
+11.830000E+00,-66.457E-03,+3.802764E+00,+2.906282E+00,-288.618E-03
+11.832500E+00,-156.910E-03,+3.626884E+00,+2.810804E+00,+264.146E-03
+11.835000E+00,-51.382E-03,+3.827889E+00,+2.856030E+00,-188.116E-03
+11.837500E+00,-76.508E-03,+3.652010E+00,+2.906282E+00,-37.362E-03
+11.840000E+00,-66.457E-03,+3.802764E+00,+2.976633E+00,-250.930E-03
+11.842500E+00,-76.508E-03,+3.626884E+00,+2.956533E+00,+226.457E-03
+11.845000E+00,-106.658E-03,+3.827889E+00,+2.906282E+00,-250.930E-03
+11.847500E+00,-76.508E-03,+3.827889E+00,+2.835930E+00,+125.955E-03
+11.850000E+00,-146.859E-03,+3.827889E+00,+2.896231E+00,-288.618E-03
+11.852500E+00,-76.508E-03,+3.714824E+00,+2.941457E+00,+151.080E-03
+11.855000E+00,-76.508E-03,+3.702261E+00,+2.906282E+00,-389.121E-03
+11.857500E+00,-6.156E-03,+3.626884E+00,+2.916332E+00,+151.080E-03
+11.860000E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,-250.930E-03
+11.862500E+00,-76.508E-03,+3.953518E+00,+2.906282E+00,+151.080E-03
+11.865000E+00,-101.633E-03,+3.765075E+00,+2.961558E+00,-389.121E-03
+11.867500E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,+326.960E-03
+11.870000E+00,-66.457E-03,+3.827889E+00,+2.840955E+00,-288.618E-03
+11.872500E+00,-126.759E-03,+3.752513E+00,+2.941457E+00,+151.080E-03
+11.875000E+00,-76.508E-03,+3.702261E+00,+2.906282E+00,-250.930E-03
+11.877500E+00,-76.508E-03,+3.626884E+00,+2.981658E+00,+125.955E-03
+11.880000E+00,-76.508E-03,+3.827889E+00,+2.976633E+00,-288.618E-03
+11.882500E+00,-126.759E-03,+3.827889E+00,+2.906282E+00,+226.457E-03
+11.885000E+00,-76.508E-03,+3.827889E+00,+2.931407E+00,-250.930E-03
+11.887500E+00,-16.206E-03,+3.815327E+00,+2.986684E+00,+151.080E-03
+11.890000E+00,-91.583E-03,+3.827889E+00,+2.896231E+00,-426.809E-03
+11.892500E+00,-46.357E-03,+3.626884E+00,+2.956533E+00,+151.080E-03
+11.895000E+00,-76.508E-03,+3.827889E+00,+2.906282E+00,-200.678E-03
+11.897500E+00,-96.608E-03,+3.626884E+00,+2.901256E+00,+125.955E-03
+11.900000E+00,-217.211E-03,+3.827889E+00,+2.906282E+00,-250.930E-03
+11.902500E+00,-76.508E-03,+3.752513E+00,+2.906282E+00,+226.457E-03
+11.905000E+00,-51.382E-03,+3.765075E+00,+2.961558E+00,-188.116E-03
+11.907500E+00,-76.508E-03,+3.626884E+00,+2.906282E+00,+151.080E-03
+11.910000E+00,-146.859E-03,+3.626884E+00,+2.825880E+00,-426.809E-03
+11.912500E+00,-111.684E-03,+3.827889E+00,+2.906282E+00,+352.085E-03
+11.915000E+00,-26.256E-03,+3.702261E+00,+2.906282E+00,-389.121E-03
+11.917500E+00,-76.508E-03,+3.815327E+00,+2.825880E+00,+151.080E-03
+11.920000E+00,-91.583E-03,+3.827889E+00,+2.896231E+00,-250.930E-03
+11.922500E+00,-76.508E-03,+3.714824E+00,+2.941457E+00,+25.452E-03
+11.925000E+00,-76.508E-03,+3.702261E+00,+2.936432E+00,-188.116E-03
+11.927500E+00,+3.894E-03,+3.815327E+00,+2.835930E+00,+125.955E-03
+11.930000E+00,-91.583E-03,+3.664573E+00,+2.896231E+00,-288.618E-03
+11.932500E+00,-76.508E-03,+3.752513E+00,+2.825880E+00,+226.457E-03
+11.935000E+00,-26.256E-03,+3.626884E+00,-68.593E-03,-188.116E-03
+11.937500E+00,-76.508E-03,+3.827889E+00,-73.618E-03,+151.080E-03
+11.940000E+00,-11.181E-03,+3.827889E+00,-8.291E-03,-288.618E-03
+11.942500E+00,-31.282E-03,+3.626884E+00,-33.417E-03,+151.080E-03
+11.945000E+00,-101.633E-03,+3.765075E+00,-118.844E-03,-250.930E-03
+11.947500E+00,-151.885E-03,+3.827889E+00,+11.809E-03,+326.960E-03
+11.950000E+00,-76.508E-03,+3.802764E+00,-68.593E-03,-250.930E-03
+11.952500E+00,-76.508E-03,+3.827889E+00,-68.593E-03,+151.080E-03
+11.955000E+00,-76.508E-03,+3.765075E+00,-68.593E-03,-250.930E-03
+11.957500E+00,-151.885E-03,+3.827889E+00,+11.809E-03,+151.080E-03
+11.960000E+00,+3.894E-03,+3.978643E+00,-68.593E-03,-250.930E-03
+11.962500E+00,-76.508E-03,+3.626884E+00,-18.342E-03,+151.080E-03
+11.965000E+00,-76.508E-03,+3.702261E+00,-38.442E-03,-250.930E-03
+11.967500E+00,-6.156E-03,+3.827889E+00,+11.809E-03,+151.080E-03
+11.970000E+00,-66.457E-03,+3.827889E+00,+1.759E-03,-250.930E-03
+11.972500E+00,-31.282E-03,+3.827889E+00,-68.593E-03,+151.080E-03
+11.975000E+00,-76.508E-03,+3.689698E+00,-68.593E-03,-188.116E-03
+11.977500E+00,-71.483E-03,+3.815327E+00,-68.593E-03,+301.834E-03
+11.980000E+00,-76.508E-03,+3.827889E+00,+1.759E-03,-288.618E-03
+11.982500E+00,-76.508E-03,+3.714824E+00,-68.593E-03,+352.085E-03
+11.985000E+00,-76.508E-03,+3.827889E+00,-13.316E-03,-250.930E-03
+11.987500E+00,-76.508E-03,+3.827889E+00,+6.784E-03,+125.955E-03
+11.990000E+00,-76.508E-03,+3.802764E+00,-68.593E-03,-250.930E-03
+11.992500E+00,-76.508E-03,+3.827889E+00,-68.593E-03,+151.080E-03
+11.995000E+00,-76.508E-03,+3.966080E+00,-38.442E-03,-250.930E-03
+11.997500E+00,-71.483E-03,+3.815327E+00,-68.593E-03,+125.955E-03
+12.000000E+00,-21.231E-03,+3.626884E+00,-68.593E-03,-250.930E-03
+12.002500E+00,-111.684E-03,+3.827889E+00,-33.417E-03,+226.457E-03
+12.005000E+00,-76.508E-03,+3.827889E+00,-38.442E-03,-188.116E-03
+12.007500E+00,-71.483E-03,+3.626884E+00,+6.784E-03,+151.080E-03
+12.010000E+00,-146.859E-03,+3.827889E+00,-68.593E-03,-250.930E-03
+12.012500E+00,-61.432E-03,+3.915829E+00,-113.819E-03,+264.146E-03
+12.015000E+00,-76.508E-03,+3.702261E+00,-38.442E-03,-250.930E-03
+12.017500E+00,-76.508E-03,+3.827889E+00,+6.784E-03,+326.960E-03
+12.020000E+00,-146.859E-03,+3.827889E+00,-78.643E-03,-112.739E-03
+12.022500E+00,-76.508E-03,+3.626884E+00,+11.809E-03,+226.457E-03
+12.025000E+00,-76.508E-03,+3.765075E+00,-38.442E-03,-250.930E-03
+12.027500E+00,-6.156E-03,+3.652010E+00,-68.593E-03,+125.955E-03
+12.030000E+00,-76.508E-03,+3.827889E+00,+11.809E-03,-426.809E-03
+12.032500E+00,-31.282E-03,+3.827889E+00,-68.593E-03,+151.080E-03
+12.035000E+00,-26.256E-03,+3.702261E+00,-68.593E-03,-389.121E-03
