x-axis,1,2,3
second,Volt,Volt,Volt
+15.6525000E+00,+2.8732410E+00,+3.6896985E+00,+2.8510052E+00
+15.6527500E+00,+2.8983667E+00,+3.8278894E+00,+2.9665831E+00
+15.6530000E+00,+2.8531405E+00,+3.6896985E+00,+2.8861811E+00
+15.6532500E+00,+2.8732410E+00,+3.8278894E+00,+2.8711057E+00
+15.6535000E+00,+2.8983667E+00,+3.6896985E+00,+2.8510052E+00
+15.6537500E+00,+2.8983667E+00,+3.6268844E+00,+2.9062816E+00
+15.6540000E+00,+2.8732410E+00,+3.7776382E+00,+2.8861811E+00
+15.6542500E+00,+2.8732410E+00,+3.8278894E+00,+2.9062816E+00
+15.6545000E+00,+2.8179647E+00,+3.7776382E+00,+2.9062816E+00
+15.6547500E+00,+2.8179647E+00,+3.6896985E+00,+2.8258795E+00
+15.6550000E+00,+2.8380652E+00,+3.7776382E+00,+2.9062816E+00
+15.6552500E+00,+2.8732410E+00,+3.6268844E+00,+2.9665831E+00
+15.6555000E+00,+2.8380652E+00,+3.6896985E+00,+2.9062816E+00
+15.6557500E+00,+2.8581657E+00,+3.7776382E+00,+2.9062816E+00
+15.6560000E+00,+2.8983667E+00,+3.6268844E+00,+2.9062816E+00
+15.6562500E+00,+2.9335425E+00,+3.7776382E+00,+2.8861811E+00
+15.6565000E+00,+2.8983667E+00,+3.6896985E+00,+2.9062816E+00
+15.6567500E+00,+2.8380652E+00,+3.6268844E+00,+2.9062816E+00
+15.6570000E+00,+2.8732410E+00,+3.8278894E+00,+2.9062816E+00
+15.6572500E+00,+2.9536430E+00,-129.3971E-03,+2.9314072E+00
+15.6575000E+00,+2.8983667E+00,-41.4574E-03,+2.8510052E+00
+15.6577500E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6580000E+00,+2.9184672E+00,-41.4574E-03,+2.9062816E+00
+15.6582500E+00,+2.8380652E+00,-129.3971E-03,+2.9314072E+00
+15.6585000E+00,+2.8179647E+00,+8.7939E-03,+2.9062816E+00
+15.6587500E+00,+2.9536430E+00,-192.2111E-03,+2.8510052E+00
+15.6590000E+00,+2.7928390E+00,+8.7939E-03,+2.9464826E+00
+15.6592500E+00,+2.8380652E+00,-129.3971E-03,+2.8510052E+00
+15.6595000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6597500E+00,+2.9335425E+00,+8.7939E-03,+2.8861811E+00
+15.6600000E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6602500E+00,+2.8983667E+00,+8.7939E-03,+2.9314072E+00
+15.6605000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6607500E+00,+2.8983667E+00,+8.7939E-03,+2.8861811E+00
+15.6610000E+00,+2.8581657E+00,+159.5477E-03,+2.8258795E+00
+15.6612500E+00,+2.8732410E+00,+71.6080E-03,+2.9062816E+00
+15.6615000E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6617500E+00,+2.8983667E+00,+8.7939E-03,+2.8510052E+00
+15.6620000E+00,+2.8983667E+00,+8.7939E-03,+2.8861811E+00
+15.6622500E+00,+2.8732410E+00,+8.7939E-03,+2.8510052E+00
+15.6625000E+00,+2.8732410E+00,+159.5477E-03,+2.8510052E+00
+15.6627500E+00,+2.8179647E+00,-41.4574E-03,+2.9062816E+00
+15.6630000E+00,+2.8380652E+00,+8.7939E-03,+2.9314072E+00
+15.6632500E+00,+2.8983667E+00,+8.7939E-03,+2.8861811E+00
+15.6635000E+00,+2.8983667E+00,+8.7939E-03,+2.8861811E+00
+15.6637500E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6640000E+00,+2.8983667E+00,+8.7939E-03,+2.8711057E+00
+15.6642500E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6645000E+00,+2.8380652E+00,+8.7939E-03,+2.9665831E+00
+15.6647500E+00,+2.8380652E+00,+8.7939E-03,+2.9062816E+00
+15.6650000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6652500E+00,+2.8581657E+00,-41.4574E-03,+2.9062816E+00
+15.6655000E+00,+2.8380652E+00,+8.7939E-03,+2.8510052E+00
+15.6657500E+00,+2.8732410E+00,+8.7939E-03,+2.8510052E+00
+15.6660000E+00,+2.8581657E+00,+8.7939E-03,+2.8510052E+00
+15.6662500E+00,+2.8179647E+00,+159.5477E-03,+2.9062816E+00
+15.6665000E+00,+2.8179647E+00,+8.7939E-03,+2.8861811E+00
+15.6667500E+00,+2.8380652E+00,+8.7939E-03,+2.9314072E+00
+15.6670000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6672500E+00,+2.8179647E+00,+8.7939E-03,+2.9314072E+00
+15.6675000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6677500E+00,+2.8983667E+00,+109.2964E-03,+2.8861811E+00
+15.6680000E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6682500E+00,+2.8983667E+00,+8.7939E-03,+2.9062816E+00
+15.6685000E+00,+2.8380652E+00,+8.7939E-03,+2.8861811E+00
+15.6687500E+00,+2.9335425E+00,+8.7939E-03,+2.9062816E+00
+15.6690000E+00,+2.8732410E+00,+8.7939E-03,+2.9062816E+00
+15.6692500E+00,+2.8380652E+00,+8.7939E-03,+2.8861811E+00
+15.6695000E+00,+2.8983667E+00,+71.6080E-03,+2.9062816E+00
+15.6697500E+00,+2.8732410E+00,+8.7939E-03,+2.9314072E+00
+15.6700000E+00,+2.8732410E+00,+8.7939E-03,+2.9062816E+00
+15.6702500E+00,+2.8983667E+00,+8.7939E-03,+2.8861811E+00
+15.6705000E+00,+2.8732410E+00,+8.7939E-03,+2.8861811E+00
+15.6707500E+00,+2.9184672E+00,+8.7939E-03,+2.8510052E+00
+15.6710000E+00,+2.8732410E+00,+71.6080E-03,+2.9062816E+00
+15.6712500E+00,+2.8380652E+00,+8.7939E-03,+2.8861811E+00
+15.6715000E+00,+2.8179647E+00,-129.3971E-03,+2.9062816E+00
+15.6717500E+00,+2.8179647E+00,+8.7939E-03,+2.8861811E+00
